26.1,-98.6_Unnamed Road, Tamaulipas, Mexico
48.1,-91.6_Moose Lake Rd, Ely, MN 55731, USA
48.1,-90.6_Gunflint Trail, Grand Marais, MN 55604, USA
48.1,-89.6_2161 Pardee Rd, Neebing, ON P7L 0G7, Canada
48.1,-88.6_Greenstone Ridge Trail, Houghton Township, MI, USA
49.1_-124.6_wkgfb2,wfgkbn, WA 11111, USA
49.1_-123.6_wskjbf , wofb , AK 11111, USA 
49.1,-122.6_5318-5398 224 St, Langley, BC V2Y 2L7, Canada
49.1,-121.6_Unnamed Road, Hope, BC V0X 1L2, Canada
49.1,-120.6_Unnamed Road, Manning Park, BC V0X 1R0, Canada
49.1,-119.6_Unnamed Road, Cawston, BC V0X 1C0, Canada
49.1,-118.6_Phoenix Way, Greenwood, BC V0H 1J0, Canada
49.1,-117.6_Antenna Trail, Trail, BC V1R 4W3, Canada
49.1,-116.6_Nicks Island Rd, Creston, BC V0B 1G7, Canada
49.1,-115.6_Unnamed Road, Grasmere, BC V0B, Canada
49.1,-114.6_Cabin Forest Service Rd, Grasmere, BC V0B 1R0, Canada
49.1,-113.6_Range Rd 281A, Mountain View, AB T0K 1N0, Canada
49.1,-112.6_Unnamed Road, Del Bonita, AB T0K 0S0, Canada
49.1,-111.6_AB-500, Aden, AB T0K 0A0, Canada
49.1,-110.6_Township Rd 21A, Aden, AB T0K 0A0, Canada
49.1,-109.6_Unnamed Road, Consul, SK S0N 0P0, Canada
49.1,-108.6_Unnamed Road, Frontier, SK S0N 0W0, Canada
49.1,-107.6_Unnamed Road, Val Marie, SK S0N 2T0, Canada
49.1,-106.6_Unnamed Road, Old Post No. 43, SK S0H, Canada
49.1,-105.6_Unnamed Road, Coronach, SK S0H 0Z0, Canada
49.1,-104.6_Unnamed Road, Minton, SK S0C 1T0, Canada
49.1,-103.6_Unnamed Road, Torquay, SK S0C 2L0, Canada
49.1,-102.6_Unnamed Road, North Portal, SK S0C 1W0, Canada
49.1,-101.6_SK-8, Carievale, SK S0C 0P0, Canada
49.1,-100.6_MB-251, Goodlands, MB R0M 0R0, Canada
49.1,-99.6_Unnamed Road, Holmfield, MB R0K 1A0, Canada
49.1,-98.6_Unnamed Road, Snowflake, MB R0G 2K0, Canada
49.1,-97.6_MB-201, Altona, MB R0G 0B1, Canada
49.1,-96.6_Dyke Rd, Gardenton, MB R0A 0M0, Canada
49.1,-95.6_MB-308, Middlebro, MB R0A 1B0, Canada
56.2,-158.1_Lake and Peninsula, AK, USA
56.2,-157.1_United States
56.2,-156.1_United States
56.2,-155.1_United States
56.2,-154.1_United States
56.2,-153.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
57.2,-158.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
57.2,-157.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
57.2,-156.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
57.2,-155.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
57.2,-154.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
57.2,-153.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
58.2,-158.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
58.2,-157.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
58.2,-156.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
58.2,-155.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
58.2,-154.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
58.2,-153.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
59.2,-161.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
59.2,-160.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
59.2,-159.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
59.2,-158.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
59.2,-157.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
59.2,-156.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
59.2,-155.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
59.2,-154.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
59.2,-153.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-165.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-164.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-163.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-162.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-161.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-160.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-159.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-158.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-157.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-156.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-155.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-154.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-153.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-152.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-151.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-150.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-149.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-148.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-147.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-146.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-145.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-144.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-143.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-142.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
60.2,-141.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-165.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-164.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-163.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-162.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-161.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-160.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-159.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-158.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-157.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-156.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-155.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-154.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-153.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-152.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-151.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-150.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-149.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-148.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-147.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-146.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-145.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-144.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-143.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-142.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
61.2,-141.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-165.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-164.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-163.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-162.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-161.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-160.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-159.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-158.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-157.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-156.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-155.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-154.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-153.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-152.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-151.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-150.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-149.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-148.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-147.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-146.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-145.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-144.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-143.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-142.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
62.2,-141.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-160.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-159.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-158.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-157.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-156.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-155.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-154.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-153.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-152.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-151.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-150.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-149.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-148.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-147.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-146.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-145.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-144.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-143.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-142.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
63.2,-141.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-160.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-159.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-158.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-157.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-156.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-155.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-154.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-153.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-152.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-151.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-150.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-149.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-148.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-147.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-146.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-145.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-144.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-143.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-142.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
64.2,-141.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-167.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-166.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-165.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-164.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-163.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-162.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-161.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-160.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-159.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-158.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-157.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-156.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-155.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-154.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-153.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-152.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-151.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-150.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-149.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-148.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-147.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-146.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-145.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-144.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-143.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-142.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
65.2,-141.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-167.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-166.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-165.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-164.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-163.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-162.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-161.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-160.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-159.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-158.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-157.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-156.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-155.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-154.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-153.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-152.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-151.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-150.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-149.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-148.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-147.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-146.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-145.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-144.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-143.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-142.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
66.2,-141.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-163.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-162.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-161.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-160.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-159.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-158.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-157.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-156.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-155.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-154.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-153.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-152.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-151.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-150.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-149.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-148.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-147.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-146.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-145.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-144.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-143.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-142.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
67.2,-141.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-167.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-166.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-165.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-164.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-163.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-162.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-161.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-160.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-159.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-158.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-157.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-156.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-155.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-154.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-153.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-152.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-151.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-150.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-149.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-148.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-147.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-146.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-145.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-144.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-143.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-142.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
68.2,-141.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-167.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-166.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-165.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-164.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-163.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-162.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-161.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-160.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-159.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-158.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-157.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-156.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-155.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-154.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-153.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-152.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-151.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-150.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-149.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-148.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-147.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-146.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-145.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-144.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-143.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-142.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
69.2,-141.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-162.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-161.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-160.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-159.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-158.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-157.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-156.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-155.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-154.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-153.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-152.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-151.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-150.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-149.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-148.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-147.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-146.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-145.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-144.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-143.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-142.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA
70.2,-141.1_Gunflint Trail ,  Grand Marais , AK 55604 , USA

